city,variant,seed,sparsification_pct,max_stretch,n_repairs,scc_connected,_source_file
Paris,E_Fuzzy_Pruning,2,26.890615393214468,1.3860790999086785,4642,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,2,26.890615393214468,1.329203009603323,4749,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),2,26.890615393214468,1.4810327162889787,4661,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,3,26.86825778324297,1.4365255406329545,4634,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,3,26.86825778324297,1.4590142997850708,4747,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),3,26.86825778324297,1.4566668841088244,4654,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,4,26.890615393214468,1.4893373824402054,4645,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,4,26.890615393214468,1.3746781937247006,4752,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),4,26.890615393214468,1.477399142723053,4662,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,5,26.678218098485274,1.4561775855137005,4600,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,5,26.678218098485274,1.476442428199906,4712,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),5,26.678218098485274,1.476442428199906,4615,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,6,26.92974121066458,1.4763242484866566,4647,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,6,26.92974121066458,1.401533529788365,4757,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),6,26.92974121066458,1.496663266957356,4658,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,7,26.873847185735844,1.4763976421005724,4633,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,7,26.873847185735844,1.4590142997850708,4748,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),7,26.873847185735844,1.4763976421005724,4637,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,8,26.83472136828573,1.4694958525086417,4626,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,8,26.83472136828573,1.4590142997850708,4742,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),8,26.83472136828573,1.4819338589298805,4656,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,9,26.790006148342744,1.421272140435606,4626,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,9,26.790006148342744,1.4519339882911353,4730,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),9,26.790006148342744,1.447924687325281,4638,True,fuzzy_pruning_20260705_150416.csv
