node_u,node_v,length
42560787,42561497,42.97966779482158
42605858,42605954,24.155855459378664
42605858,42606436,29.982959228135822
42575176,42573494,61.32902684509483
42575176,42575426,68.82627866078107
42593610,42593913,49.38829940358107
42573136,42573169,57.88665650264392
42573136,42573150,55.59238964636675
42579284,42579431,65.61152043812098
42605908,42605956,97.8805014806356
42573150,42573243,55.31772760983141
122023269,122023291,20.121963943732272
122023269,122023279,76.51004839845338
42591590,42590039,73.12521802842015
42603881,42604176,62.96958854722528
42587499,42585983,69.27272167590765
122023279,6794598302,34.696341925856856
122023280,122023291,10.813924948080984
122023280,122023295,68.77753077814162
42573169,42573386,51.13107999928676
42573171,42573172,30.10748592709844
42573172,42573388,44.53300437401517
42575219,440776452,58.6735106461863
42597748,42598339,62.24442428626327
42597748,42598169,21.10432551160593
122023283,122023308,70.20101482579821
122023283,122023291,84.11650665708596
122023286,122023312,71.37135022542624
122023286,122023313,78.46622109762808
122023286,6794598302,16.741159439472195
122023295,122023312,109.8037262753776
42605954,42606289,72.65402956773569
42605956,42606370,91.4828175059956
122023308,42591845,98.44527418974371
122023313,29658722,95.48149809694712
42571154,6899721732,77.96821447448085
42587552,42585983,96.43794544789884
42587552,42587810,14.3186189723563
918144436,918144437,9.957969949979072
918144436,42571733,11.579948782612126
918144437,42571562,110.08333846354698
42577338,42577757,57.64142152798812
42573243,42571645,63.83349741936736
42569153,1281560552,15.451915596158084
59936193,59936204,18.983769297744065
